t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758641,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758651,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758661,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758671,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758681,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758691,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758701,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758711,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758721,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758731,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758741,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758751,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758761,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758771,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758781,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758791,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758801,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758811,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758821,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758831,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758841,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758851,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758861,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
1552758871,1,239,239.000000,239,0.000000,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
